"compound_id","CAS.No","Compound","logkpl","MWa","Mptc","LogSaqd","LogSoce","Texpi"
"100-02-7","100-02-7","p-nitrophenol; 4-nitrophenol",-2.25,139.1,387,-4,-2.09,298
"100-39-0","100-39-0","benzyl bromide",-1.54511979359646,171.03,270,-5.58621723790635,-2.66621723790635,305
"100-39-0","100-39-0","benzyl bromide",-1.89202735976865,171.03,270,-5.58621723790635,-2.66621723790635,305
"100-51-6","100-51-6","benzyl alcohol",-2.22205999132796,108.1,258,-3.39794000867204,-2.35794000867204,298
"1002-62-6","1002-62-6","sodium caprate; decanoic acid soap (c10:0)",-2.95233580539844,194.25,513,-2.873010949534,0.876989050465997,310
"103-11-7","103-11-7","2-ethylhexyl acrylate",-2.11289007326765,184.27,183,-6.18531356201768,-2.51531356201768,305
"103-11-7","103-11-7","2-ethylhexyl acrylate",-1.82434537155519,184.27,183,-6.18531356201768,-2.51531356201768,305
"104-54-1","104-54-1","cinnamyl alcohol",-1.54329916349423,134.18,304.5,-4.80317612328812,-3.01217612328812,305
"104-54-1","104-54-1","cinnamyl alcohol",-1.47890341621095,134.18,304.5,-4.80317612328812,-3.01217612328812,305
"104-85-8","104-85-8","p-tolunitrile",-1.34336049829281,117.15,301,-5.00029898618857,-3.13029898618856,305
"104-85-8","104-85-8","p-tolunitrile",-1.51076062352006,117.15,301,-5.00029898618857,-3.13029898618856,305
"10521-91-2","10521-91-2","5-phenylpentanol",-0.94692155651658,164.24,310.95,-5.34440814557864,-2.45440814557864,310
"106-24-1","106-24-1","geraniol",-0.986619380204979,154.25,258,-6.12955948121007,-2.56955948121006,305
"106-24-1","106-24-1","geraniol",-1.01401437058883,154.25,258,-6.12955948121007,-2.56955948121006,305
"106-41-3","106-41-3","p-bromophenol",-1.43951925261862,173,337,-4.06048074738138,-1.57048074738138,298
"106-44-5","106-44-5","p-cresol",-0.920818753952375,108.1,309,-3.60205999132796,-1.65205999132796,310
"106-44-5","106-44-5","p-cresol",-1.74875360095283,108.1,309,-3.72124639904717,-1.78124639904717,298
"106-48-9","106-48-9","p-chlorophenol",-1.44875360095283,128.6,317,-3.72124639904717,-1.29124639904717,298
"106-50-3","106-50-3","p-phenylenediamine",-3.61978875828839,108.1,419,-3.34678748622466,-3.59678748622466,305
"108-39-4","108-39-4","m-cresol",-1.81172783601759,108.1,285,-3.63827216398241,-1.67827216398241,298
"108-46-3","108-46-3","resorcinol",-2.42023266087399,110.11,384,-2.09899122893036,-1.29899122893036,305
"108-46-3","108-46-3","resorcinol",-2.35642808060813,110.11,384,-2.09899122893036,-1.29899122893036,305
"108-46-3","108-46-3","resorcinol",-3.07,110.11,384,-2.03903666520746,-1.23903666520746,310
"108-46-3","108-46-3","resorcinol; 1,3-benzenediol",-3.62291335664286,110.1,384,-2.18708664335714,-1.42708664335714,298
"108-73-6","108-73-6","phloroglucinol",-2.51,126.11,491.5,-3.86419721748007,-3.70419721748007,310
"108-88-3","108-88-3","toluene",-0.0809219076239261,92.1,178,-5.24412514432751,-2.56412514432751,310
"108-95-2","108-95-2","phenol",-2.03,94.11,314,-2.92081875395238,-1.46081875395238,310
"108-95-2","108-95-2","phenol",-2.08907809237607,94.1,314,-3.08092190762393,-1.60092190762393,298
"108-95-2","108-95-2","phenol",-1.70996538863748,94.1,314,-2.92081875395238,-1.44081875395238,310
"108-95-2","108-95-2","phenol",-3.82792274303052,94.1,314,-3.08618614761628,-1.60618614761628,295
"110-80-5","110-80-5","2-ethoxy ethanol",-3.60205999132796,90.1,183,-1.99139982823808,-2.27,303
"111-27-3","111-27-3","hexanol",-1.49485002168009,102.2,228.4,-4.23859888415655,-2.24959888415655,308
"111-27-3","111-27-3","hexanol",-1.88605664769316,102.2,228,-4.23657200643706,-2.29657200643706,298
"111-27-3","111-27-3","n-hexanol",-1.88605664769316,102.2,228.4,-4.11856056677183,-2.12956056677183,310
"111-76-2","111-76-2","butoxyethanol",-2.25698018593163,118.17,198.2,-2.11861534322943,-1.28918640771921,310
"111-87-5","111-87-5","n-octanol",-1.2839966563652,130.2,258,-5.38721614328026,-2.38721614328026,310
"111-87-5","111-87-5","octanol",-1.0301183562535,130.2,258,-5.38721614328026,-2.23707398143171,308
"111-87-5","111-87-5","octanol",-1.15490195998574,130.2,258,-5.38721614328026,-2.23707398143171,298
"111-87-5","111-87-5","octanol",-1.2839966563652,130.2,258,-5.38721614328026,-2.38721614328026,298
"111-87-5","111-87-5","octanol",-1.21467016498923,130.2,258,-5.38721614328026,-2.38721614328026,303
"112-30-1","112-30-1","decanol",-1.833220851329,158.28,279,-6.63827216398241,-2.73827216398241,310
"112-30-1","112-30-1","decanol",-1.95860731484178,158.28,279,-6.631224317527,-2.731224317527,310
"112-30-1","112-30-1","decanol",-1.14508697769214,158.3,279,-6.63827216398241,-2.39827237109553,308
"112-30-1","112-30-1","decanol",-1.04575749056068,158.3,279,-6.63827216398241,-2.39827237109553,298
"112-30-1","112-30-1","decanol",-1.09691001300806,158.3,279,-6.63827216398241,-2.57827216398241,298
"112-30-1","112-30-1","n-decanol",-1.09691001300806,158.28,279,-6.63827216398241,-2.57827216398241,310
"112-34-5","112-34-5","diethylene glycol monobutyl ether",-2.23600035701585,162.23,162.9,-2.17978021512573,-1.57978021512573,305
"112-34-5","112-34-5","diethylene glycol monobutyl ether",-2.16688305055618,162.23,162.9,-2.17978021512573,-1.57978021512573,305
"112-80-1","112-80-1","oleic acid",-2.88605664769316,282.45999,286.5,-10.0362079938309,-2.30620799383095,310
"117-81-7","117-81-7","bis(2-ethylhexyl)phthalate",-4.09691001300806,390.56,223,-8.90058282882991,-3.87058282882991,310
"119-34-6","119-34-6","4-amino-2-nitrophenol",-4.06550154875643,154.1,399,-4.05194032951218,-3.09194032951218,305
"119-36-8","119-36-8","methyl salicylate",-1.44369749923271,152,265,-5.0145262531966,-2.7845262531966,305
"119-61-9","119-61-9","benzophenone",-1.24920613319746,182.218,323,-6.05042490084487,-2.87042490084487,305
"119-61-9","119-61-9","benzophenone",-1.13822159828622,182.218,323,-6.05042490084487,-2.87042490084487,305
"120-80-9","120-80-9","catechol",-2.51,110.11,378,-2.23315600395064,-1.35315600395064,310
"120-83-2","120-83-2","2,4-dichlorophenol",-1.14874021557127,163,315.5,-4.55897509062861,-1.45897509062861,310
"120-83-2","120-83-2","2,4-dichlorophenol",-1.22136169383427,163,318,-4.50863830616573,-1.44863830616573,298
"1219-38-1","1219-38-1","octylparaben",-1.90585161784792,250.33,325.5,-6.98214995613418,-1.69214995613418,310
"122-57-6","122-57-6","benzylideneacetone",-1.40794873077454,146.19,313,-4.94823855113315,-2.79923855113315,305
"122-57-6","122-57-6","benzylideneacetone",-1.11863375864077,146.19,313,-4.94823855113315,-2.79923855113315,305
"123-07-9 ","123-07-9 ","p-ethylphenol",-1.46278385671974,122.2,318,-4.38721614328026,-1.91721614328026,298
"123-31-9","123-31-9","hydroquinone",-5.0301183562535,110.11,446.5,-4.09932265646946,-3.47932265646946,303
"123-31-9","123-31-9","hydroquinone",-1.90385139213331,110.11,446.5,-4.09932265646946,-3.47932265646946,305
"123-31-9","123-31-9","hydroquinone",-2.41644259377425,110.11,446.5,-4.09932265646946,-3.47932265646946,305
"123-31-9","123-31-9","hydroquinone",-2.95,110.11,445.3,-3.01371366629287,-2.42371366629287,310
"124-94-7","124-94-7","triamcinolone",-5.40011692792631,394.5,543,-6.69897000433602,-5.66897000433602,298
"131-11-3","131-11-3","dimethyl phthalate",-1.55258483591006,194.18,278.5,-4.61109012724328,-2.92109012724328,305
"131-11-3","131-11-3","dimethyl phthalate",-1.64782103953418,194.18,278.5,-4.61109012724328,-2.92109012724328,305
"135-19-3","135-19-3","beta-naphthol; 2-naphthol",-1.5543957967264,144.2,396,-5.16115090926274,-2.45115090926274,298
"135-19-3","135-19-3","beta-naphthol; 2-naphthol",-1.20065945054642,144,396,-5.08219555275032,-2.37219555275032,305
"13523-86-9","13523-86-9","pindolol",-3.70333480973847,248.32,442,-6.64419943971753,-6.97419943971753,310
"13655-52-2","13655-52-2","alprenolol",-2.78664164637561,249,381,-2.45797297118447,-1.80797297118447,310
"137-58-6","137-58-6","lidocaine",-2.40120949323688,234.33,342,-4.79004429590852,-2.31004429590852,298
"137-58-6","137-58-6","lidocaine",-2.52287874528034,234,342,-4.67778070526608,-2.19777376230893,298
"137-58-6","137-58-6","lidocaine",-2.52287874528034,234,342,-4.67778070526608,-2.19777376230893,298
"141-05-9","141-05-9","diethyl maleate",-1.66740097646667,172.178,263,-5.2172781712859,-4.1452781712859,305
"141-05-9","141-05-9","diethyl maleate",-1.58608416024509,172.178,263,-5.2172781712859,-4.1452781712859,305
"14199-15-6","14199-15-6","methyl 4-hydroxyphenylacetate",-1.69897000433602,166.17,330,-4.07404497261054,-2.44404497261054,310
"143-08-8","143-08-8","n-nonanol",-1.22184874961636,144.26,268,-6.01322826573375,-2.48322826573375,310
"143-08-8","143-08-8","nonanol",-1.22184874961636,144,268,-6.01322826573375,-2.48322826573375,298
"14371-10-9","14371-10-9","trans-cinnamaldehyde",-1.55307871254876,132.16,265,-4.90855428929003,-2.78555428929003,305
"14371-10-9","14371-10-9","trans-cinnamaldehyde",-1.38433498624321,132.16,265,-4.90855428929003,-2.78555428929003,305
"145-13-1","145-13-1","hydroxypregnenolone",-3.22184874961636,332.5,541.5,-4.80792945865819,-1.05792945865819,299
"145-13-1","145-13-1","pregnenolone",-2.82390874094432,316.5,466,-7.82390874094432,-3.30390874094432,299
"146-72-5","146-72-5","methylglucose",-3.68026950566978,194.18,431,-1.99765317685669,-4.49765317685669,310
"1638-22-8","1638-22-8","p-n-butylphenol; 4-butylphenol",-1.11463877996849,150,295,-5.78076486598633,-2.24076486598633,305
"16590-41-3","16590-41-3","naltrexone",-2.6664407795091,341.4,442,-5.53962269260453,-3.61962269260453,310
"17194-82-0","17194-82-0","alfa-(4-hydroxyphenyl) acetamide",-3.34678748622466,151.2,450,-3.85387196432176,-3.94387196432176,310
"18979-50-5","18979-50-5","4-propoxyphenol",-1.82490330536304,152.19,328,-4.64637088214349,-2.27637088214349,305
"2152-44-5","2152-44-5","betamethasone-17-valerate",-2.88041422503822,476.6,457,-7.72124639904717,-3.74124639904717,298
"2203-97-6","2203-97-6","hydrocortisone-21-hemisuccinate",-3.20065945054642,462.5,444,-6.71332431530943,-4.59938096300259,310
"2493-02-9","2493-02-9","4-bromophenyl isocyanate",-1.84100559902551,198.02,316,-5.62279496208606,-2.14279496208606,305
"2493-02-9","2493-02-9","4-bromophenyl isocyanate",-1.75134980127003,198.02,316,-5.62279496208606,-2.14279496208606,305
"26839-75-8","26839-75-8","timolol",-3.57016261901271,316.42,345,-5.96300840876861,-4.13300840876861,305
"26839-75-8","26839-75-8","timolol",-3.53521248035406,316.42,345,-5.8891928217776,-4.0591928217776,310
"2871-01-4","2871-01-4","hc red no. 3; 2-(4-amino-2-nitroanilino)-ethanol",-1.67058885168866,197.191,401,-6.20370514255196,-5.54270514255196,305
"2871-01-4","2871-01-4","hc red no. 3; 2-(4-amino-2-nitroanilino)-ethanol",-2.32271042397763,197.191,401,-6.20370514255196,-5.54270514255196,305
"29122-68-7","29122-68-7","atenolol",-3.96657624451305,266,428,-4.92380119663706,-6.69380119663706,310
"31005-02-4","31005-02-4","7-ethoxycoumarin",-0.781780143112531,190.19,363,-4.59298249933903,-3.11898249933903,305
"31005-02-4","31005-02-4","7-ethoxycoumarin",-0.919153916982604,190.19,363,-4.59298249933903,-3.11898249933903,305
"333-41-5","333-41-5","diazinon",-2.06048074738138,304.35001,393,-6.7305907245708,-2.9605907245708,310
"3360-41-6","3360-41-6","4-phenylbutanol",-1.08092190762393,150.22,300.5,-4.6792833649762,-2.3492833649762,310
"3593-96-2","3593-96-2","hydrocortisone-21-hexanoate; hydrocortisone caproate",-2,460.6,388,-8.25200463882299,-3.77200463882299,310
"3930-20-9","3930-20-9","sotalol",-4.31984585826563,272.36,479.75,-5.43284794649751,-5.19284794649751,305
"3930-20-9","3930-20-9","sotalol",-3.88598470867013,272.36,479.75,-5.43284794649751,-5.19284794649751,305
"3930-20-9","3930-20-9","sotalol",-4.17986287404271,272.36,479.75,-5.43284794649751,-5.19284794649751,305
"42200-33-9","42200-33-9","nadolol",-4.10127481841051,309.4,403,-4.35807389856059,-5.41807389856059,310
"437-38-7","437-38-7","fentanyl base",-1.96286612872332,336.5,361,-6.08618614761628,-2.15618614761628,310
"463-40-1","463-40-1","linolenic acid",-2.431798275933,278.42999,261.7,-9.35129432663134,-2.83129432663134,310
"499-75-2","499-75-2","iso-thymol; carvacrol",-1.25336580106242,150,276.5,-5.05387538078285,-1.77387538078285,305
"50-2-2","50-2-2","dexamethasone",-4.19382002601611,392.464,535,-6.59379982587517,-4.53379982587517,298
"50-22-6","50-22-6","corticosterone",-2.24178591486039,346.5,454,-6.0700079371398,-4.31000793713981,310
"50-22-6","50-22-6","corticosterone",-2.35454840605954,346.5,454,-6.0700079371398,-4.31000793713981,310
"50-22-6","50-22-6","corticosterone",-3.16494389827988,346.5,454,-6.4605219929002,-4.5605219929002,310
"50-22-6","50-22-6","corticosterone",-4,346.5,454,-6.46048062955126,-4.52048062955126,298
"50-22-6","50-22-6","corticosterone",-3.33468369530231,346.5,454,-6.09481029720211,-4.34481029720211,308
"50-22-6","50-22-6","corticosterone",-3.52287874528034,346.5,454,-6.20760831050175,-4.44760831050175,298
"50-22-6","50-22-6","corticosterone",-3.52287874528034,346,454,-6.24412514432751,-4.48412514432751,298
"50-22-6","50-22-6","corticosterone",-4,346,454,-6.4605219929002,-4.52100274028158,298
"50-22-6","50-22-6","corticosterone",-3.26587485567249,346.5,454,-6.20760831050175,-4.44760831050175,300
"50-22-6","50-22-6","corticosterone",-2.58587485567249,346.5,454,-6.04095860767891,-4.28095860767891,312
"50-22-6","50-22-6","corticosterone",-4.22184874961636,346.5,454,-6.22914798835786,-4.46914798835786,299
"50-22-6","50-22-6","corticosterone",-4.67571754470231,346.5,454,-6.24412514432751,-4.48412514432751,298
"50-22-6","50-22-6","corticosterone",-3.23418248469008,347,454,-6.4605219929002,-4.5205219929002,310
"50-23-7","50-23-7","hydrocortisone",-2.01894154396037,362.5,493,-5.94341583208572,-4.51341583208572,305
"50-23-7","50-23-7","hydrocortisone",-2.68163603566894,362.5,493,-5.94341583208572,-4.51341583208572,305
"50-23-7","50-23-7","hydrocortisone",-3.63827216398241,362.45999,493,-6.05551732784983,-4.29551732784983,310
"50-23-7","50-23-7","hydrocortisone",-3.63870046691906,362.5,493,-5.89557289247554,-4.46557289247554,308
"50-23-7","50-23-7","hydrocortisone",-5.52287874528034,362.5,493,-6.03621217265444,-4.60621217265444,299
"50-23-7","50-23-7","hydrocortisone",-5.52724355068279,362.5,493,-6.05551732784983,-4.62551732784983,298
"50-24-8","50-24-8","prednisolone",-4.32790214206428,360.4,514,-6.20760831050175,-4.51760831050175,298
"50-27-1","50-27-1","estriol",-4.39794000867204,288.4,555,-7.03151705144607,-4.09151705144606,299
"50-28-2","50-28-2","beta-estradiol",-2.38721614328026,272.38,449,-7.88605664769316,-3.87605664769316,298
"50-28-2","50-28-2","beta-estradiol",-2.01233373507373,272.4,449,-7.74472749489669,-3.73472749489669,310
"50-28-2","50-28-2","beta-estradiol",-3.52287874528034,272.4,449,-7.88605664769316,-3.87605664769316,299
"50-28-2","50-28-2","beta-estradiol",-2.28149831113273,272.4,449,-7.79588001734407,-3.78588001734407,305
"50-28-2","50-28-2","estradiol",-1.98581560249872,272.4,449,-7.79588001734407,-3.78588001734407,305
"50-28-2","50-28-2","estradiol",-4.69680394257951,272.4,449,-7.87826640326691,-3.86826640326691,310
"50-28-2","50-28-2","estradiol",-2.36451625318509,272.4,449,-7.87826640326691,-3.86826640326691,310
"50-28-2","50-28-2","estradiol",-2.38090666937326,272.38,449,-7.88605664769316,-3.87605664769316,298
"50-28-2","50-28-2","estradiol",-2.21324857785444,272.38,449,-7.74472749489669,-3.73472749489669,310
"50-28-2","50-28-2","estradiol",-2.49485002168009,272.4,449,-7.88605664769316,-3.87605664769316,298
"50-28-2","50-28-2","estradiol",-2.52287874528034,272.38,449,-7.88605664769316,-3.87605664769316,298
"50-28-2","50-28-2","estradiol",-2.52287874528034,272.4,449,-7.87826640326691,-3.86826640326691,298
"50-28-2","50-28-2","estradiol",-2.52287874528034,272.4,449,-7.87826640326691,-3.86826640326691,298
"50-28-2","50-28-2","estradiol",-2.08008551934057,272.4,449,-7.87826640326691,-3.86826640326691,310
"50-28-2","50-28-2","estradiol",-2.34969247686806,272.4,449,-7.79588001734407,-3.78588001734407,305
"50-28-2","50-28-2","estradiol",-2.51173374958299,272.4,449,-7.79588001734407,-3.78588001734407,305
"51-21-8","51-21-8","5-fluorouracil",-4.52574969288748,130.1,556,-3.92081875395238,-4.70081875395238,305
"51-21-8","51-21-8","5-fluorouracil",-4.72894468964132,130.1,556,-3.88605664769316,-4.66605664769316,305
"51-21-8","51-21-8","5-fluorouracil",-4.47108329972234,130.1,556,-3.92081875395238,-4.70081875395238,305
"51-21-8","51-21-8","5-fluorouracil (+ - + -)",-4.46597389394386,130.1,556,-3.88605664769316,-4.66605664769316,305
"512-69-6","512-69-6","raffinose",-4.85472588171206,504.4,354,-3.34142505354878,-7.01142505354878,310
"512-69-6","512-69-6","raffinose",-4.29756946355447,504.4,354,-3.34142505354878,-7.64142505354878,310
"513-85-9","513-85-9","2,3-butanediol",-4.30102999566398,90.1,298,-1.95860731484178,-2.94860731484178,303
"51384-51-1","51384-51-1","metoprolol",-3.52461940685664,267,397,-3.39794000867204,-3.36794000867204,310
"52-39-1","52-39-1","aldosterone",-4.23657200643706,360.45,437,-7,-5.92,298
